NAME,RA,DEC,PMRA,PMDEC,FLUX_B,FLUX_V,FLUX_J,FLUX_H,FLUX_K
HD 144976,16 12 33.6449439287,-64 28 07.189759579,-2.259,-3.515,10.15,10.1,10.039,10.055,9.995
HD  83477,09 35 53.8495474176,-64 33 12.113460049,-12.331,15.698,7.34,7.34,7.311,7.346,7.35
HD  92989,10 42 38.4130116080,-64 40 40.611251461,-17.528,10.976,7.64,7.58,7.494,7.535,7.467
HD  74238,08 39 09.0787775719,-64 58 08.908945047,-3.099,9.507,8.66,8.6,8.444,8.44,8.393
HD 177777,19 10 36.6405753474,-65 09 52.084347496,0.856,-15.008,10.24,10.19,10.03,10.018,10.021
HD  75260,08 45 19.1271019477,-65 10 53.998984664,-9.875,6.195,9.59,9.53,9.505,9.515,9.497
HD  78691,09 06 12.4912762151,-65 11 26.908593854,-9.886,5.357,9.49,9.43,9.152,9.184,9.119
HD  90020,10 21 17.6584858612,-65 11 44.277643910,-9.146,11.528,7.37,7.33,7.137,7.144,7.099
HIP  95567,19 26 21.7114884305,-65 11 46.796694540,8.78,-8.32,7.97,7.97,8,8.051,8.01
HD 126860,14 30 50.9583824231,-65 26 19.915019340,-9.748,-9.814,10.09,10.05,9.855,9.88,9.837
HD 146382,16 20 18.5122448733,-65 29 13.269953512,-3.514,-6.674,10.37,10.3,10.124,10.104,10.114
HD  75909,08 49 10.6706556031,-65 33 46.146819758,-4.122,8.943,9.42,9.37,9.172,9.168,9.148
HIP  59898,12 17 06.3093124011,-65 41 34.651365063,-38.331,-10.073,6.073,6.054,5.997,6.031,5.999
HD 143000,16 01 56.0172174334,-65 43 34.965621700,-1.066,-19.546,9.53,9.46,9.402,9.391,9.355
HIP  27966,05 54 56.9749689680,-65 53 00.641987165,-3.427,27.031,7.9,7.92,7.93,7.996,7.952
HD  48991,06 41 18.5976281848,-65 58 51.535420109,-4.718,10.567,9.6,9.56,9.524,9.536,9.495
HIP  28909,06 06 09.3815420998,-66 02 22.630442068,13.656,27.815,5.679,5.69,5.768,5.753,5.751
HIP  92218,18 47 39.3835316556,-66 05 47.160071695,19.305,-13.392,9.88,9.81,9.666,9.672,9.63
HD 157083,17 26 06.5921608202,-66 08 06.056655296,0.25,-2.966,9.57,9.57,9.556,9.557,9.51
HD 139835,15 44 24.5028938913,-66 17 01.947560681,-6.082,-9.801,10.48,10.42,10.288,10.27,10.254
HIP   1714,00 21 33.4326855894,-66 18 16.476308422,26.264,-21.155,7.37,7.36,7.365,7.395,7.395
HD 135834,15 21 01.6744366090,-66 18 16.519113206,-4.17,-4.824,10.32,10.27,9.924,9.901,9.928
HIP  88289,18 01 44.3982519283,-66 27 52.082042631,9.879,-16.894,8.46,8.4,8.253,8.268,8.233
HD  81737,09 24 07.1447177181,-66 41 24.814729290,-12.387,11.744,9.13,9.08,8.891,8.921,8.881
